city,model,kind,rmse,mse,mae,mape,n_scored,config,runtime_s,error,best_baseline_rmse,beats_baseline,rmse_vs_baseline_pct,rank
Ahmedabad,Prophet,model,22.891310411515178,524.0120923563431,20.979182061391555,22.627862223375516,28,"Prophet (yearly + weekly, additive)",0.38,,28.317082174142573,1.0,-19.2,1.0
Ahmedabad,Seasonal naive (weekly),baseline,28.317082174142573,801.857142857143,25.214285714285722,27.798786027233703,28,Seasonal naive (weekly),0.0,,28.317082174142573,,0.0,2.0
Ahmedabad,Naive (last value),baseline,32.68300126103126,1068.1785714285709,30.749999999999993,33.75133960014461,28,Naive (last value),0.0,,28.317082174142573,,15.4,3.0
Ahmedabad,Holt-Winters,model,36.377866368229476,1323.3491615047612,33.78604384914079,36.82609600516319,28,"Holt-Winters (add. damped trend, add. seasonal m=7)",0.22,,28.317082174142573,0.0,28.5,4.0
Ahmedabad,XGBoost,model,36.57792546184713,1337.9446310924448,34.6399951368927,37.999859110772384,28,"XGBoost recursive (21 features: lags 1-28, rolling [7, 14, 30], calendar)",1.5,,28.317082174142573,0.0,29.2,5.0
Ahmedabad,ARIMA,model,70.74483088079285,5004.831096351981,67.8364014445195,73.6608360503503,28,"ARIMA(2, 0, 2)",4.39,,28.317082174142573,0.0,149.8,6.0
Ahmedabad,SARIMA,model,157.35675986795147,24761.14987614014,145.66763481702847,157.3852315412289,28,"SARIMA(2, 0, 2)x(0, 0, 1, 7) + 3 annual Fourier pairs",7.23,,28.317082174142573,0.0,455.7,7.0
Ahmedabad,LSTM,model,195.02941849111087,38036.47407698086,189.97856421753292,203.63645151749142,28,"LSTM(1x64) lookback=60, direct 30-step, 23 epochs (early stop)",4.0,,28.317082174142573,0.0,588.7,8.0
Ahmedabad,Seasonal naive (annual),baseline,314.0000568698765,98596.0357142857,300.67857142857144,320.2099964066487,28,Seasonal naive (annual),0.0,,28.317082174142573,,1008.9,9.0
Bengaluru,Holt-Winters,model,8.54726340124409,73.05571165024669,6.986396646359884,13.947949835348883,30,"Holt-Winters (add. damped trend, add. seasonal m=7)",0.35,,9.600347215943115,1.0,-11.0,1.0
Bengaluru,Naive (last value),baseline,9.600347215943115,92.16666666666673,7.96666666666667,13.825629706085959,30,Naive (last value),0.0,,9.600347215943115,,0.0,2.0
Bengaluru,XGBoost,model,10.097893629653154,101.96745575578976,8.044912607054203,16.193569782807096,30,"XGBoost recursive (21 features: lags 1-28, rolling [7, 14, 30], calendar)",1.48,,9.600347215943115,0.0,5.2,3.0
Bengaluru,Prophet,model,10.64838482980249,113.38809948356781,8.113482653546276,14.707821402153199,30,"Prophet (yearly + weekly, additive)",0.5,,9.600347215943115,0.0,10.9,4.0
Bengaluru,SARIMA,model,14.55471032024838,211.8395925063447,13.217030427729789,25.958789766349426,30,"SARIMA(2, 0, 1)x(0, 0, 1, 7) + 3 annual Fourier pairs",11.16,,9.600347215943115,0.0,51.6,5.0
Bengaluru,Seasonal naive (weekly),baseline,15.775508443998447,248.86666666666633,12.933333333333321,25.605454587991023,30,Seasonal naive (weekly),0.0,,9.600347215943115,,64.3,6.0
Bengaluru,ARIMA,model,18.790317849857757,353.0760448986831,17.630892888041874,34.085675749226375,30,"ARIMA(2, 0, 1)",6.46,,9.600347215943115,0.0,95.7,7.0
Bengaluru,Seasonal naive (annual),baseline,20.504471057145885,420.4333333333333,15.899999999999997,31.68790570097556,30,Seasonal naive (annual),0.0,,9.600347215943115,,113.6,8.0
Bengaluru,LSTM,model,23.79667200630506,566.2815985756628,22.514843662587467,43.65499904498469,30,"LSTM(1x64) lookback=60, direct 30-step, 16 epochs (early stop)",5.56,,9.600347215943115,0.0,147.9,9.0
Chennai,SARIMA,model,20.684548810850156,427.8505595084426,14.851805463779177,14.185144955105661,30,"SARIMA(2, 0, 2)x(0, 0, 1, 7) + 3 annual Fourier pairs",13.66,,21.143162803453357,1.0,-2.2,1.0
Chennai,Naive (last value),baseline,21.143162803453357,447.0333333333336,15.099999999999996,14.137270740305144,30,Naive (last value),0.0,,21.143162803453357,,0.0,2.0
Chennai,Holt-Winters,model,21.42975779902495,459.2345193248708,15.351535226903353,14.253650894002151,30,"Holt-Winters (add. damped trend, add. seasonal m=7)",0.37,,21.143162803453357,0.0,1.4,3.0
Chennai,XGBoost,model,23.02753781934951,530.2674980215721,15.509699936227571,13.636826477472678,30,"XGBoost recursive (21 features: lags 1-28, rolling [7, 14, 30], calendar)",1.54,,21.143162803453357,0.0,8.9,4.0
Chennai,LSTM,model,24.624447597655056,606.3634194896598,17.307002149410202,15.084520934772302,30,"LSTM(1x64) lookback=60, direct 30-step, 34 epochs (early stop)",11.21,,21.143162803453357,0.0,16.5,5.0
Chennai,Seasonal naive (weekly),baseline,25.024654509769633,626.2333333333336,20.166666666666675,18.496255845314398,30,Seasonal naive (weekly),0.0,,21.143162803453357,,18.4,6.0
Chennai,ARIMA,model,27.97668596851862,782.6949577811066,19.80089775114036,16.8443186511742,30,"ARIMA(2, 0, 2)",9.28,,21.143162803453357,0.0,32.3,7.0
Chennai,Seasonal naive (annual),baseline,34.46931002113813,1188.1333333333334,27.066666666666666,26.762704254913384,30,Seasonal naive (annual),0.0,,21.143162803453357,,63.0,8.0
Chennai,Prophet,model,46.76049143715638,2186.543559444375,41.171180342801996,37.80817736616903,30,"Prophet (yearly + weekly, additive)",0.53,,21.143162803453357,0.0,121.2,9.0
Delhi,LSTM,model,32.846486235482615,1078.891658017749,25.901215520834988,21.207672627255747,30,"LSTM(1x64) lookback=60, direct 30-step, 17 epochs (early stop)",7.6,,41.05808893100926,1.0,-20.0,1.0
Delhi,ARIMA,model,35.722701783880076,1276.1114227400287,28.3685277902112,25.65748693911203,30,"ARIMA(2, 0, 2)",8.72,,41.05808893100926,1.0,-13.0,2.0
Delhi,XGBoost,model,35.975736887210886,1294.2536445778258,24.55569850319106,20.755710584245275,30,"XGBoost recursive (21 features: lags 1-28, rolling [7, 14, 30], calendar)",1.42,,41.05808893100926,1.0,-12.4,3.0
Delhi,SARIMA,model,38.51010428277249,1483.0281318700117,31.014166077908953,28.075421177533304,30,"SARIMA(2, 0, 2)x(0, 0, 1, 7) + 3 annual Fourier pairs",13.3,,41.05808893100926,1.0,-6.2,4.0
Delhi,Prophet,model,39.550549035359104,1564.245928998345,25.411268265570243,17.95555122952286,30,"Prophet (yearly + weekly, additive)",0.65,,41.05808893100926,1.0,-3.7,5.0
Delhi,Naive (last value),baseline,41.05808893100926,1685.7666666666653,29.63333333333332,20.842739139560237,30,Naive (last value),0.0,,41.05808893100926,,0.0,6.0
Delhi,Holt-Winters,model,41.61219117270356,1731.5744541936283,30.271915244109973,21.394541710193444,30,"Holt-Winters (add. damped trend, add. seasonal m=7)",0.39,,41.05808893100926,0.0,1.3,7.0
Delhi,Seasonal naive (weekly),baseline,52.77941517927862,2785.6666666666665,41.666666666666664,34.645562660613436,30,Seasonal naive (weekly),0.0,,41.05808893100926,,28.5,8.0
Delhi,Seasonal naive (annual),baseline,77.89373102717146,6067.4333333333325,67.83333333333333,58.05483173872108,30,Seasonal naive (annual),0.0,,41.05808893100926,,89.7,9.0
Hyderabad,Naive (last value),baseline,14.079535977202289,198.23333333333363,11.300000000000008,29.387963401371337,30,Naive (last value),0.0,,14.079535977202289,,0.0,1.0
Hyderabad,XGBoost,model,15.936932020603008,253.98580222932148,12.834885021962608,33.75904328108094,30,"XGBoost recursive (21 features: lags 1-28, rolling [7, 14, 30], calendar)",1.53,,14.079535977202289,0.0,13.2,2.0
Hyderabad,Prophet,model,16.238248079945738,263.6807007058614,12.149785587249717,32.43806974192128,30,"Prophet (yearly + weekly, additive)",0.5,,14.079535977202289,0.0,15.3,3.0
Hyderabad,Holt-Winters,model,16.578394294061304,274.8431573693644,13.705712691741072,35.785788203693265,30,"Holt-Winters (add. damped trend, add. seasonal m=7)",0.38,,14.079535977202289,0.0,17.7,4.0
Hyderabad,Seasonal naive (annual),baseline,23.8725784112232,569.9,18.7,46.29835225622288,30,Seasonal naive (annual),0.0,,14.079535977202289,,69.6,5.0
Hyderabad,LSTM,model,27.8845788141976,777.5497356451976,25.992205152739913,64.57015307684479,30,"LSTM(1x64) lookback=60, direct 30-step, 19 epochs (early stop)",6.41,,14.079535977202289,0.0,98.1,6.0
Hyderabad,SARIMA,model,29.4751255523444,868.7830263264659,27.66524221300437,68.46031011550492,30,"SARIMA(2, 0, 2)x(0, 0, 1, 7) + 3 annual Fourier pairs",12.9,,14.079535977202289,0.0,109.3,7.0
Hyderabad,Seasonal naive (weekly),baseline,35.252895862136874,1242.766666666667,30.43333333333334,76.58200436900884,30,Seasonal naive (weekly),0.0,,14.079535977202289,,150.4,8.0
Hyderabad,ARIMA,model,35.84296097873768,1284.7178517233117,34.36844359929026,83.51097821808898,30,"ARIMA(3, 0, 1)",8.08,,14.079535977202289,0.0,154.6,9.0
