city,model,kind,n_windows,mean_rmse,std_rmse,mean_mae,mean_mape,mean_rank,wins,beat_baseline_windows,windows_total,win_rate,beat_baseline_rate,best_baseline_mean_rmse
Ahmedabad,Holt-Winters,model,6,57.4425762827773,22.81145917532646,48.166906020920386,32.19542031925138,3.6666666666666665,1,4,6,0.16666666666666666,0.6666666666666666,60.74957475807407
Ahmedabad,SARIMA,model,6,57.87587586532597,21.31402138506781,50.486490493265784,36.066628382323735,3.0,1,3,6,0.16666666666666666,0.5,60.74957475807407
Ahmedabad,Naive (last value),baseline,6,60.74957475807407,24.40269719923755,51.36877394636016,34.43500373917865,5.0,0,0,6,0.0,,60.74957475807407
Ahmedabad,ARIMA,model,6,62.86504265314102,26.075513455460914,52.91161778308729,33.945109605534945,5.0,1,1,6,0.16666666666666666,0.16666666666666666,60.74957475807407
Ahmedabad,XGBoost,model,6,62.87339727920926,21.08063319408658,51.74382478177972,37.47336996556441,4.666666666666667,0,2,6,0.0,0.3333333333333333,60.74957475807407
Ahmedabad,Seasonal naive (weekly),baseline,6,75.157226520109,28.097382360272658,59.977805145046524,38.62527298041099,6.333333333333333,0,0,6,0.0,,60.74957475807407
Ahmedabad,LSTM,model,6,75.69680593995935,42.66274989493443,67.24422818790566,40.878563763131204,4.833333333333333,0,2,6,0.0,0.3333333333333333,60.74957475807407
Ahmedabad,Seasonal naive (annual),baseline,6,84.78142510793423,20.776997920358163,68.52510399562124,50.26038174977509,7.0,1,0,6,0.16666666666666666,,60.74957475807407
Ahmedabad,Prophet,model,6,88.69975866597092,65.01493780658438,75.9107861993667,46.81227786574656,5.5,2,3,6,0.3333333333333333,0.5,60.74957475807407
Bengaluru,SARIMA,model,6,19.346124176796952,4.8315384986920344,15.781675381321952,20.00183663344966,3.3333333333333335,1,2,6,0.16666666666666666,0.3333333333333333,25.54517469120668
Bengaluru,LSTM,model,6,20.924390780844757,6.219033029068997,17.06816219271491,21.341183788231348,4.166666666666667,0,2,6,0.0,0.3333333333333333,25.54517469120668
Bengaluru,Holt-Winters,model,6,21.309541663128616,8.213998120696951,17.802516088990075,22.06884751885747,4.0,1,2,6,0.16666666666666666,0.3333333333333333,25.54517469120668
Bengaluru,ARIMA,model,6,22.829584400203927,5.944223847205777,19.116127754165113,24.40961660217029,4.333333333333333,1,2,6,0.16666666666666666,0.3333333333333333,25.54517469120668
Bengaluru,Seasonal naive (weekly),baseline,6,25.54517469120668,8.949461436023984,21.177777777777777,26.020367931122717,6.333333333333333,0,0,6,0.0,,25.54517469120668
Bengaluru,Naive (last value),baseline,6,25.855444714683845,11.94188040722424,23.055555555555557,29.055419653325654,4.5,2,0,6,0.3333333333333333,,25.54517469120668
Bengaluru,Prophet,model,6,26.720215651292037,11.298158963555922,22.117480079865214,27.108025190897198,6.166666666666667,0,1,6,0.0,0.16666666666666666,25.54517469120668
Bengaluru,XGBoost,model,6,27.73884095380541,15.769817462565223,23.693792505172215,31.379295636166898,4.833333333333333,0,1,6,0.0,0.16666666666666666,25.54517469120668
Bengaluru,Seasonal naive (annual),baseline,6,28.939685363652085,12.566365157171955,23.722222222222218,27.93574304334365,7.333333333333333,1,0,6,0.16666666666666666,,25.54517469120668
Chennai,ARIMA,model,6,37.445620769170155,17.392753173080596,27.483733623476127,24.713097272593245,3.6666666666666665,1,4,6,0.16666666666666666,0.6666666666666666,42.866410122630974
Chennai,LSTM,model,6,37.47590551753274,17.1792737991438,27.469696065841294,24.983461495231808,4.0,0,2,6,0.0,0.3333333333333333,42.866410122630974
Chennai,SARIMA,model,6,37.99063289872203,15.98957944149559,30.296669125021037,30.14935982331913,3.3333333333333335,2,4,6,0.3333333333333333,0.6666666666666666,42.866410122630974
Chennai,XGBoost,model,6,38.22427564740794,16.647447555304733,29.774659922675173,28.705087068584422,4.333333333333333,1,2,6,0.16666666666666666,0.3333333333333333,42.866410122630974
Chennai,Holt-Winters,model,6,40.73054136735794,18.447581471308073,31.10765824074007,29.92432481834764,5.0,1,2,6,0.16666666666666666,0.3333333333333333,42.866410122630974
Chennai,Prophet,model,6,41.13649736310867,15.819669217515111,32.45284564805838,30.656842019392855,4.833333333333333,1,2,6,0.16666666666666666,0.3333333333333333,42.866410122630974
Chennai,Seasonal naive (weekly),baseline,6,42.866410122630974,18.01476412570388,32.48333333333333,29.881364230901948,5.166666666666667,0,0,6,0.0,,42.866410122630974
Chennai,Naive (last value),baseline,6,44.6119012448053,20.582207221817068,34.48888888888888,33.88409340689756,6.0,0,0,6,0.0,,42.866410122630974
Chennai,Seasonal naive (annual),baseline,6,60.12085125207631,21.586104180024215,42.861111111111114,42.25375372993729,8.666666666666666,0,0,6,0.0,,42.866410122630974
Delhi,SARIMA,model,6,69.21315983728034,31.889158463341854,55.8842055516942,26.16785234777323,2.3333333333333335,2,4,6,0.3333333333333333,0.6666666666666666,98.90590640444417
Delhi,Prophet,model,6,69.30853530484754,22.994470155146654,52.87038619751249,23.51935415383301,3.5,1,3,6,0.16666666666666666,0.5,98.90590640444417
Delhi,LSTM,model,6,81.65137244206765,40.709651735578134,65.53917644506863,28.250701330641505,4.5,0,2,6,0.0,0.3333333333333333,98.90590640444417
Delhi,XGBoost,model,6,86.11755862425333,59.60608823898601,70.37019940029845,31.011288002980574,4.5,0,2,6,0.0,0.3333333333333333,98.90590640444417
Delhi,Naive (last value),baseline,6,98.90590640444417,76.16866819091956,82.04444444444445,32.282700890274015,4.666666666666667,1,0,6,0.16666666666666666,,98.90590640444417
Delhi,Holt-Winters,model,6,99.256034323716,75.62314617343378,82.65962531068662,32.776510026954284,4.833333333333333,0,1,6,0.0,0.16666666666666666,98.90590640444417
Delhi,Seasonal naive (annual),baseline,6,102.29402301162673,24.16690769039634,78.45555555555556,40.175201450526124,6.666666666666667,1,0,6,0.16666666666666666,,98.90590640444417
Delhi,ARIMA,model,6,106.9548924846333,74.05984306904075,91.05618096033997,37.782582784028655,5.5,1,2,6,0.16666666666666666,0.3333333333333333,98.90590640444417
Delhi,Seasonal naive (weekly),baseline,6,123.21602857454002,71.81902507540579,103.22222222222221,45.23470295916756,8.5,0,0,6,0.0,,98.90590640444417
Hyderabad,Prophet,model,6,22.390323454781583,4.618901771525554,18.997144301927282,29.89926134934642,2.6666666666666665,2,3,6,0.3333333333333333,0.5,25.88360265240735
Hyderabad,XGBoost,model,6,23.259561573980523,6.964230311461054,18.920437119674983,27.644735671906403,4.0,1,2,6,0.16666666666666666,0.3333333333333333,25.88360265240735
