city,window,test_start,test_end,n_train,model,kind,rmse,mse,mae,mape,n_scored,config,runtime_s,error,rmse_seed_std,n_runs,best_baseline_rmse,beats_baseline,rmse_vs_baseline_pct,rank,window_winner
Ahmedabad,0,2020-06-02,2020-07-01,951,SARIMA,model,12.395283661197942,153.64305704156067,9.149278759140651,29.552881458062853,30,"SARIMA(1, 1, 1)x(0, 0, 1, 7) + 3 annual Fourier pairs",20.87,,,,12.929164577290624,True,-4.1,1.0,True
Ahmedabad,0,2020-06-02,2020-07-01,951,LSTM,model,12.538326032068442,157.72452398154016,10.568371832871215,45.30549983068655,30,"LSTM(1x64) lookback=60, direct 30-step, 19 epochs (early stop), mean of seeds [42, 43, 44]",45.48,,0.7175683208552321,3.0,12.929164577290624,True,-3.0,2.0,False
Ahmedabad,0,2020-06-02,2020-07-01,951,Prophet,model,12.77727055578056,163.25864285561687,9.722920926762676,30.81037479804723,30,"Prophet (yearly + weekly, additive)",0.94,,,,12.929164577290624,True,-1.2,3.0,False
Ahmedabad,0,2020-06-02,2020-07-01,951,Naive (last value),baseline,12.929164577290624,167.16329666666667,9.620333333333333,29.530429685366492,30,Naive (last value),0.0,,,,12.929164577290624,,0.0,4.0,False
Ahmedabad,0,2020-06-02,2020-07-01,951,Holt-Winters,model,14.288221807856203,204.1532824304976,11.08110511751297,32.919698533891996,30,"Holt-Winters (add. damped trend, add. seasonal m=7)",0.81,,,,12.929164577290624,False,10.5,5.0,False
Ahmedabad,0,2020-06-02,2020-07-01,951,ARIMA,model,14.546057674087988,211.58779385789407,11.243615635495969,33.30904589922501,30,"ARIMA(1, 1, 1)",14.49,,,,12.929164577290624,False,12.5,6.0,False
Ahmedabad,0,2020-06-02,2020-07-01,951,XGBoost,model,15.264752669887384,233.01267407283402,11.890683337227934,34.764774168580736,30,"XGBoost recursive (21 features: lags 1-28, rolling [7, 14, 30], calendar)",3.37,,,,12.929164577290624,False,18.1,7.0,False
Ahmedabad,0,2020-06-02,2020-07-01,951,Seasonal naive (weekly),baseline,15.506369443984406,240.44749333333326,11.907999999999998,34.501108235049685,30,Seasonal naive (weekly),0.0,,,,12.929164577290624,,19.9,8.0,False
Ahmedabad,0,2020-06-02,2020-07-01,951,Seasonal naive (annual),baseline,118.39241155299325,14016.76311333333,108.526,448.7033365492482,30,Seasonal naive (annual),0.0,,,,12.929164577290624,,815.7,9.0,False
Ahmedabad,1,2020-02-03,2020-03-03,831,SARIMA,model,15.388951324497572,236.8198228677556,12.05275620120245,19.299606316708193,30,"SARIMA(2, 0, 1)x(0, 0, 1, 7) + 3 annual Fourier pairs",21.6,,,,30.161206540853104,True,-49.0,1.0,True
Ahmedabad,1,2020-02-03,2020-03-03,831,ARIMA,model,26.525872418657407,703.6219075708897,21.134592728461786,29.840533335155005,30,"ARIMA(2, 0, 1)",14.61,,,,30.161206540853104,True,-12.1,2.0,False
Ahmedabad,1,2020-02-03,2020-03-03,831,Holt-Winters,model,26.94897404406534,726.2472020277074,20.317518200942306,27.77948915678718,30,"Holt-Winters (add. damped trend, add. seasonal m=7)",0.95,,,,30.161206540853104,True,-10.7,3.0,False
Ahmedabad,1,2020-02-03,2020-03-03,831,LSTM,model,28.34302656191764,808.7331510363273,22.26874812188335,31.125122969064876,30,"LSTM(1x64) lookback=60, direct 30-step, 27 epochs (early stop), mean of seeds [42, 43, 44]",37.53,,2.325079858146452,3.0,30.161206540853104,True,-6.0,4.0,False
Ahmedabad,1,2020-02-03,2020-03-03,831,Seasonal naive (annual),baseline,30.161206540853104,909.6983800000002,24.43066666666667,39.71707615910053,30,Seasonal naive (annual),0.0,,,,30.161206540853104,,0.0,5.0,False
Ahmedabad,1,2020-02-03,2020-03-03,831,Naive (last value),baseline,30.9116423051251,955.5296299999998,25.35433333333333,36.11226775195343,30,Naive (last value),0.0,,,,30.161206540853104,,2.5,6.0,False
Ahmedabad,1,2020-02-03,2020-03-03,831,Seasonal naive (weekly),baseline,38.06800493853073,1449.173,30.132666666666662,43.531293381111226,30,Seasonal naive (weekly),0.0,,,,30.161206540853104,,26.2,7.0,False
Ahmedabad,1,2020-02-03,2020-03-03,831,XGBoost,model,38.6512263830391,1493.9173009129381,34.194100855238545,50.8431179616189,30,"XGBoost recursive (21 features: lags 1-28, rolling [7, 14, 30], calendar)",1.57,,,,30.161206540853104,False,28.1,8.0,False
Ahmedabad,1,2020-02-03,2020-03-03,831,Prophet,model,50.95886430282946,2596.805851034187,46.70154085790447,70.80405746453322,30,"Prophet (yearly + weekly, additive)",0.59,,,,30.161206540853104,False,69.0,9.0,False
Ahmedabad,2,2019-10-06,2019-11-04,711,Naive (last value),baseline,57.877926304709085,3349.8543533333354,50.12200000000001,44.899626726019825,30,Naive (last value),0.0,,,,57.877926304709085,,0.0,1.0,True
Ahmedabad,2,2019-10-06,2019-11-04,711,Holt-Winters,model,62.15369325884224,3863.0815857142516,53.77766348157478,37.76240388692471,30,"Holt-Winters (add. damped trend, add. seasonal m=7)",0.43,,,,57.877926304709085,False,7.4,2.0,False
Ahmedabad,2,2019-10-06,2019-11-04,711,XGBoost,model,75.26101330382396,5664.220123518367,60.1129857571942,32.966303572304376,30,"XGBoost recursive (21 features: lags 1-28, rolling [7, 14, 30], calendar)",2.23,,,,57.877926304709085,False,30.0,3.0,False
Ahmedabad,2,2019-10-06,2019-11-04,711,ARIMA,model,76.32137550336678,5824.9523587259155,62.10022473842791,35.54651197212646,30,"ARIMA(2, 0, 1)",11.31,,,,57.877926304709085,False,31.9,4.0,False
Ahmedabad,2,2019-10-06,2019-11-04,711,SARIMA,model,77.64062478543848,6028.066617073243,63.19640824629767,35.89068060889833,30,"SARIMA(2, 0, 1)x(0, 0, 1, 7) + 3 annual Fourier pairs",20.83,,,,57.877926304709085,False,34.1,5.0,False
Ahmedabad,2,2019-10-06,2019-11-04,711,Seasonal naive (annual),baseline,78.32923441048898,6135.468963333332,64.75833333333333,36.72868163839279,30,Seasonal naive (annual),0.0,,,,57.877926304709085,,35.3,6.0,False
Ahmedabad,2,2019-10-06,2019-11-04,711,Seasonal naive (weekly),baseline,83.11913421910343,6908.790473333332,70.55333333333331,43.52161624085317,30,Seasonal naive (weekly),0.0,,,,57.877926304709085,,43.6,7.0,False
Ahmedabad,2,2019-10-06,2019-11-04,711,LSTM,model,92.99683190415243,8649.15648450976,77.22859539332295,42.92885658349576,30,"LSTM(1x64) lookback=60, direct 30-step, 17 epochs (early stop), mean of seeds [42, 43, 44]",24.15,,0.8635625632098933,3.0,57.877926304709085,False,60.7,8.0,False
Ahmedabad,2,2019-10-06,2019-11-04,711,Prophet,model,97.17135680498473,9442.272583321652,83.29144553662097,47.8885931693929,30,"Prophet (yearly + weekly, additive)",0.63,,,,57.877926304709085,False,67.9,9.0,False
Ahmedabad,3,2019-06-08,2019-07-07,591,Naive (last value),baseline,43.26379490983197,1871.755950000003,30.640333333333363,18.082453535159775,30,Naive (last value),0.0,,,,43.26379490983197,,0.0,1.0,True
Ahmedabad,3,2019-06-08,2019-07-07,591,Prophet,model,48.613539805942494,2363.2762524639556,37.83967055007266,25.436182143930463,30,"Prophet (yearly + weekly, additive)",0.47,,,,43.26379490983197,False,12.4,2.0,False
Ahmedabad,3,2019-06-08,2019-07-07,591,SARIMA,model,61.75263069877061,3813.387398218746,51.13916150554584,31.59536202133998,30,"SARIMA(2, 1, 2)x(1, 0, 0, 7) + 3 annual Fourier pairs",15.17,,,,43.26379490983197,False,42.7,3.0,False
Ahmedabad,3,2019-06-08,2019-07-07,591,Holt-Winters,model,62.76650343226872,3939.633953113001,52.06326098436967,32.149724780331994,30,"Holt-Winters (add. damped trend, add. seasonal m=7)",0.3,,,,43.26379490983197,False,45.1,4.0,False
Ahmedabad,3,2019-06-08,2019-07-07,591,ARIMA,model,70.11023575334573,4915.445157389718,60.48574766899825,38.103983514555665,30,"ARIMA(2, 1, 2)",6.02,,,,43.26379490983197,False,62.1,5.0,False
Ahmedabad,3,2019-06-08,2019-07-07,591,XGBoost,model,80.11207224104105,6417.9441187537805,70.64079139112276,45.15511793219885,30,"XGBoost recursive (21 features: lags 1-28, rolling [7, 14, 30], calendar)",2.16,,,,43.26379490983197,False,85.2,6.0,False
Ahmedabad,3,2019-06-08,2019-07-07,591,Seasonal naive (weekly),baseline,82.1810707117724,6753.728383333336,72.20500000000001,46.23824757695492,30,Seasonal naive (weekly),0.0,,,,43.26379490983197,,90.0,7.0,False
Ahmedabad,3,2019-06-08,2019-07-07,591,LSTM,model,83.1984244334371,6922.475013237618,75.45989513451413,48.70945484928017,30,"LSTM(1x64) lookback=60, direct 30-step, 17 epochs (early stop), mean of seeds [42, 43, 44]",17.77,,0.7051134882246827,3.0,43.26379490983197,False,92.3,8.0,False
Ahmedabad,3,2019-06-08,2019-07-07,591,Seasonal naive (annual),baseline,106.49064475342423,11340.25742,100.56933333333333,66.84592531834456,30,Seasonal naive (annual),0.0,,,,43.26379490983197,,146.1,9.0,False
