city,model,kind,n_windows,mean_rmse,std_rmse,mean_mae,mean_mape,mean_rank,wins,beat_baseline_windows,windows_total,win_rate,beat_baseline_rate,best_baseline_mean_rmse
Ahmedabad,Naive (last value),baseline,5,34.77936520037146,16.824971282511104,27.94586666666667,31.97320040429853,4.0,2,0,5,0.4,,34.77936520037146
Ahmedabad,SARIMA,model,5,36.65510695251473,30.71269931456926,29.657867719873792,27.731809707804643,2.2,3,3,5,0.6,0.6,34.77936520037146
Ahmedabad,Holt-Winters,model,5,37.33468697277738,23.370011548029783,30.836911230209928,30.820979682436786,4.0,0,2,5,0.0,0.4,34.77936520037146
Ahmedabad,ARIMA,model,5,40.919277314592776,29.899148381000806,33.80488182234318,31.973000543618877,4.0,0,2,5,0.0,0.4,34.77936520037146
Ahmedabad,XGBoost,model,5,45.218729986485116,31.09590245343298,38.027296612469385,37.5163486324468,5.2,0,1,5,0.0,0.2,34.77936520037146
Ahmedabad,Prophet,model,5,45.381571727872476,33.80266197449769,38.2597448943558,39.00716957628922,5.4,0,2,5,0.0,0.4,34.77936520037146
Ahmedabad,LSTM,model,5,47.24649127395466,37.87055963861531,40.083586796667774,39.03461464553999,5.4,0,3,5,0.0,0.6,34.77936520037146
Ahmedabad,Seasonal naive (weekly),baseline,5,49.17728313391525,31.582244897912997,41.19,40.64940025996338,7.2,0,0,5,0.0,,34.77936520037146
Ahmedabad,Seasonal naive (annual),baseline,5,81.98436595782609,34.11251157004651,73.60233333333333,141.20725359559324,7.6,0,0,5,0.0,,34.77936520037146
Bengaluru,LSTM,model,6,6.643385770441007,2.6264456495027417,5.28814656450021,19.21994177851101,3.5,0,4,6,0.0,0.6666666666666666,9.143147220596559
Bengaluru,SARIMA,model,6,6.904744181978475,3.355345662348511,5.4877746152696245,20.023706274621617,3.6666666666666665,2,4,6,0.3333333333333333,0.6666666666666666,9.143147220596559
Bengaluru,Prophet,model,6,6.930499505406021,3.7232565485483846,5.740871282566071,20.961886722558265,4.333333333333333,1,4,6,0.16666666666666666,0.6666666666666666,9.143147220596559
Bengaluru,ARIMA,model,6,7.5540076218117065,3.0519689823380323,6.029100900623404,22.379984922916112,5.0,1,3,6,0.16666666666666666,0.5,9.143147220596559
Bengaluru,XGBoost,model,6,7.817123180699272,2.856690707625482,6.529779897375042,25.582360601364538,3.6666666666666665,1,4,6,0.16666666666666666,0.6666666666666666,9.143147220596559
Bengaluru,Holt-Winters,model,6,8.912522374461458,4.304501835165212,7.665348498493354,30.71050479474196,5.333333333333333,0,2,6,0.0,0.3333333333333333,9.143147220596559
Bengaluru,Seasonal naive (weekly),baseline,6,9.143147220596559,3.984044094844278,7.376833333333333,27.32049073338844,6.5,0,0,6,0.0,,9.143147220596559
Bengaluru,Naive (last value),baseline,6,10.565891250789925,5.356243132250175,9.513388888888887,38.492366327710236,6.166666666666667,1,0,6,0.16666666666666666,,9.143147220596559
Bengaluru,Seasonal naive (annual),baseline,6,10.672241545817974,3.539472625301704,8.539166666666667,35.27189591522538,6.833333333333333,0,0,6,0.0,,9.143147220596559
Chennai,SARIMA,model,6,4.414043971738709,2.075913429785585,3.531491927833265,20.864360723602008,2.3333333333333335,2,4,6,0.3333333333333333,0.6666666666666666,4.6632849249449295
Chennai,ARIMA,model,6,4.61851582445816,2.2104944396766038,3.619988111547494,21.282516284842508,3.6666666666666665,1,4,6,0.16666666666666666,0.6666666666666666,4.6632849249449295
Chennai,Naive (last value),baseline,6,4.6632849249449295,1.3479697513437132,3.470388888888889,19.806936358821776,4.833333333333333,0,0,6,0.0,,4.6632849249449295
Chennai,Holt-Winters,model,6,4.716247553118286,1.9108439469966287,3.5578633615495363,20.063758252410427,4.166666666666667,0,3,6,0.0,0.5,4.6632849249449295
Chennai,LSTM,model,6,4.896512287694707,1.8120731120639821,4.02614893686174,24.761602458455062,5.166666666666667,0,1,6,0.0,0.16666666666666666,4.6632849249449295
Chennai,XGBoost,model,6,5.143938306190815,2.2294466694862307,4.046246265680888,23.532645819897724,5.5,1,2,6,0.16666666666666666,0.3333333333333333,4.6632849249449295
Chennai,Seasonal naive (weekly),baseline,6,5.709259014702654,2.9352426027463423,4.593611111111112,25.79093927808911,7.0,0,0,6,0.0,,4.6632849249449295
Chennai,Seasonal naive (annual),baseline,6,5.996993160181195,2.195580935444636,4.9174444444444445,34.653754086291876,6.166666666666667,2,0,6,0.3333333333333333,,4.6632849249449295
Chennai,Prophet,model,6,6.426853745851588,3.079749724240371,5.495454063027263,31.42590347974645,6.166666666666667,0,2,6,0.0,0.3333333333333333,4.6632849249449295
Delhi,Prophet,model,6,8.730571772479776,3.3513881726666086,7.286171483273471,17.085997399668525,2.1666666666666665,3,5,6,0.5,0.8333333333333334,13.200171317503012
Delhi,LSTM,model,6,10.311098719761292,3.2905259901215342,8.557511533291516,22.59839161179949,4.666666666666667,0,3,6,0.0,0.5,13.200171317503012
Delhi,SARIMA,model,6,10.60308467115625,1.6124837292842495,8.630878341047897,24.10722073128876,4.333333333333333,0,4,6,0.0,0.6666666666666666,13.200171317503012
Delhi,XGBoost,model,6,11.882885587750428,3.5292905871958578,9.999267408854509,25.099414926765718,4.0,2,3,6,0.3333333333333333,0.5,13.200171317503012
Delhi,Holt-Winters,model,6,12.524514052715974,5.435313394249476,10.547386799447452,22.427236558874082,4.833333333333333,0,1,6,0.0,0.16666666666666666,13.200171317503012
Delhi,ARIMA,model,6,12.84430951226698,4.761364948990524,10.987125063396382,26.14003075421319,5.666666666666667,1,2,6,0.16666666666666666,0.3333333333333333,13.200171317503012
Delhi,Naive (last value),baseline,6,13.200171317503012,5.973879528939722,11.096333333333336,23.157393718248912,5.833333333333333,0,0,6,0.0,,13.200171317503012
Delhi,Seasonal naive (weekly),baseline,6,14.297525150863807,4.772683606298821,11.923499999999999,27.264358239999165,7.0,0,0,6,0.0,,13.200171317503012
Delhi,Seasonal naive (annual),baseline,6,14.847706732589685,4.006391444464679,11.894777777777778,31.17585920998791,6.5,0,0,6,0.0,,13.200171317503012
Hyderabad,XGBoost,model,6,6.5810978116837555,2.36619303703777,5.524546278026453,22.03308972225766,2.8333333333333335,3,4,6,0.5,0.6666666666666666,7.945107966953015
Hyderabad,Seasonal naive (weekly),baseline,6,7.945107966953015,2.8809249565868593,6.579666666666665,29.990140748309695,4.0,0,0,6,0.0,,7.945107966953015
Hyderabad,ARIMA,model,6,8.169497879034397,2.9725962816246754,6.762893283884128,28.179794354990673,4.333333333333333,1,1,6,0.16666666666666666,0.16666666666666666,7.945107966953015
Hyderabad,Holt-Winters,model,6,8.413763467100631,2.4983339758742797,7.012570663211019,28.833711339913915,5.0,0,2,6,0.0,0.3333333333333333,7.945107966953015
Hyderabad,Naive (last value),baseline,6,8.58097688528698,2.449298981274314,7.041111111111113,29.104511713266806,5.5,0,0,6,0.0,,7.945107966953015
Hyderabad,SARIMA,model,6,8.714986555089634,4.82059137318885,6.95100534319857,21.814445680011872,4.666666666666667,1,2,6,0.16666666666666666,0.3333333333333333,7.945107966953015
Hyderabad,LSTM,model,6,8.956551190222482,6.046264032309093,7.823789017504928,28.026591043227807,5.0,1,3,6,0.16666666666666666,0.5,7.945107966953015
Hyderabad,Prophet,model,6,9.281213566669578,3.7505675686494504,7.578093615410764,26.530511683628248,5.666666666666667,0,2,6,0.0,0.3333333333333333,7.945107966953015
Hyderabad,Seasonal naive (annual),baseline,6,13.455049873927168,4.514561344674105,11.590833333333334,45.94680838814414,8.0,0,0,6,0.0,,7.945107966953015
Lucknow,Prophet,model,6,12.315622390124568,5.843660933198515,9.785590961261095,27.16661565922313,4.166666666666667,1,3,6,0.16666666666666666,0.5,14.62255281251292
Lucknow,SARIMA,model,6,12.481113838517572,5.12493127048474,9.866176943629439,27.084077599045767,3.8333333333333335,1,3,6,0.16666666666666666,0.5,14.62255281251292
Lucknow,XGBoost,model,6,13.927910464694001,9.388541644217273,11.061166701205218,29.10489509023186,4.166666666666667,1,3,6,0.16666666666666666,0.5,14.62255281251292
