city,model,kind,n_windows,mean_rmse,std_rmse,mean_mae,mean_mape,mean_rank,wins,beat_baseline_windows,windows_total,win_rate,beat_baseline_rate,best_baseline_mean_rmse
Ahmedabad,Holt-Winters,model,6,26.922059704598627,9.045602004500228,20.228746948013608,32.65327858644333,3.8333333333333335,0,3,6,0.0,0.5,30.07654984630147
Ahmedabad,ARIMA,model,6,28.074954274896225,11.018577556138318,21.137529115848256,37.30232477315961,4.0,1,3,6,0.16666666666666666,0.5,30.07654984630147
Ahmedabad,SARIMA,model,6,28.354402128682477,9.761169269315108,22.091237330192858,38.52319563757909,4.0,0,2,6,0.0,0.3333333333333333,30.07654984630147
Ahmedabad,Naive (last value),baseline,6,30.07654984630147,9.449937040113344,23.53049808429118,40.2023319449076,4.666666666666667,1,0,6,0.16666666666666666,,30.07654984630147
Ahmedabad,XGBoost,model,6,32.75765198303768,14.504722431588002,25.45104915561443,44.00048246507345,4.833333333333333,1,2,6,0.16666666666666666,0.3333333333333333,30.07654984630147
Ahmedabad,LSTM,model,6,34.53474394411517,21.78570443293165,29.15633027176241,49.20246874785236,4.333333333333333,2,3,6,0.3333333333333333,0.5,30.07654984630147
Ahmedabad,Seasonal naive (weekly),baseline,6,35.84675377025982,15.323651866459716,27.08971264367816,40.88302435625872,5.833333333333333,0,0,6,0.0,,30.07654984630147
Ahmedabad,Prophet,model,6,42.37423906956779,30.261161125485884,35.3105294462136,54.841513787966505,6.333333333333333,1,1,6,0.16666666666666666,0.16666666666666666,30.07654984630147
Ahmedabad,Seasonal naive (annual),baseline,6,42.616129945215796,14.027025745146991,29.91985823754789,59.051316874435344,7.166666666666667,0,0,6,0.0,,30.07654984630147
Bengaluru,SARIMA,model,6,10.529438105653428,4.452889180323578,8.532920886216585,30.744260334971898,3.1666666666666665,1,3,6,0.16666666666666666,0.5,11.447710456518415
Bengaluru,Holt-Winters,model,6,10.531941574303167,3.824394694708342,8.604294818831827,31.479517957898604,2.6666666666666665,2,4,6,0.3333333333333333,0.6666666666666666,11.447710456518415
Bengaluru,Naive (last value),baseline,6,11.447710456518415,2.9700269972615825,9.395055555555553,35.235511611319424,4.5,1,0,6,0.16666666666666666,,11.447710456518415
Bengaluru,XGBoost,model,6,11.76583762232977,4.758623745029525,9.575590264010131,34.79618998739506,4.5,1,2,6,0.16666666666666666,0.3333333333333333,11.447710456518415
Bengaluru,LSTM,model,6,11.858104926542609,3.8531008547611014,9.724652659294664,37.496449728718154,5.0,0,1,6,0.0,0.16666666666666666,11.447710456518415
Bengaluru,ARIMA,model,6,11.984130582299777,4.6016779417495846,9.697687890898885,33.52472882069002,4.833333333333333,1,2,6,0.16666666666666666,0.3333333333333333,11.447710456518415
Bengaluru,Prophet,model,6,12.573275036360144,4.90628904057954,10.079636639949962,37.9885427544656,5.5,0,2,6,0.0,0.3333333333333333,11.447710456518415
Bengaluru,Seasonal naive (weekly),baseline,6,13.837061373180035,5.1987703417076245,10.898166666666667,38.675925829133696,6.833333333333333,0,0,6,0.0,,11.447710456518415
Bengaluru,Seasonal naive (annual),baseline,6,17.227573605425196,7.722955859228295,13.999166666666667,50.409580565192876,8.0,0,0,6,0.0,,11.447710456518415
Chennai,Holt-Winters,model,6,25.674006221080177,13.894542143564413,16.942639132694822,38.21823326972212,3.0,1,4,6,0.16666666666666666,0.6666666666666666,26.906187717678332
