city,feature_set,score_rmse_vs_reference,level_agreement_with_reference
Ahmedabad,aqi_only,0.734074506955488,0.507719298245614
Ahmedabad,aqi_pm25_no2,0.5317791102548861,0.5927777777777777
Bengaluru,aqi_only,0.24824698519395866,0.7945925925925926
Bengaluru,aqi_pm25_no2,0.2197644832047323,0.8242407407407407
Chennai,aqi_only,0.36586218774642987,0.7443508771929824
Chennai,aqi_pm25_no2,0.36924702889168337,0.7827719298245615
Delhi,aqi_only,0.9564367717379846,0.5632037037037037
Delhi,aqi_pm25_no2,0.8184157710044441,0.6277592592592592
Hyderabad,aqi_only,0.26647544315122124,0.7775555555555556
Hyderabad,aqi_pm25_no2,0.23379806131916062,0.8093518518518519
