task,feature_set,model,kind,cv_accuracy_mean,cv_precision_weighted_mean,cv_recall_weighted_mean,cv_f1_weighted_mean,cv_recall_low_mean,cv_recall_moderate_mean,cv_recall_high_mean,cv_recall_severe_mean,cv_accuracy_std,cv_precision_weighted_std,cv_recall_weighted_std,cv_f1_weighted_std,cv_recall_low_std,cv_recall_moderate_std,cv_recall_high_std,cv_recall_severe_std,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_recall_low,test_recall_moderate,test_recall_high,test_recall_severe,runtime_s,cv_mse_mean,cv_rmse_mean,cv_mae_mean,cv_r2_mean,cv_level_accuracy_from_score_mean,cv_mse_std,cv_rmse_std,cv_mae_std,cv_r2_std,cv_level_accuracy_from_score_std,test_mse,test_rmse,test_mae,test_r2,test_level_accuracy_from_score,selected
classification,aqi_only,Baseline,baseline,0.4081666666666666,0.16660013888888886,0.4081666666666666,0.23661983737444867,1.0,0.0,0.0,0.0,0.00037267799624997355,0.0003040431319406022,0.00037267799624997355,0.0003693369100275901,0.0,0.0,0.0,0.0,0.408,0.166464,0.408,0.23645454545454545,1.0,0.0,0.0,0.0,0.7,,,,,,,,,,,,,,,,False
classification,aqi_only,Random Forest,model,0.8005000000000001,0.8026258651944964,0.8005000000000001,0.8013140338780452,0.860757898251325,0.7462603878116344,0.6715151515151515,0.8621034077555816,0.006603870918719635,0.006662443699389247,0.006603870918719635,0.006612278622657255,0.013278319001884397,0.018016191181727505,0.028875464847446318,0.02568225445246434,0.8173333333333334,0.8171991269803449,0.8173333333333334,0.8171658483051503,0.8905228758169934,0.7699115044247787,0.6553398058252428,0.8608695652173913,17.4,,,,,,,,,,,,,,,,False
classification,aqi_only,XGBoost,model,0.8123333333333334,0.8151522000409985,0.8123333333333334,0.8133826416162051,0.8640290472017028,0.7578947368421053,0.7175757575757575,0.8664336075205641,0.010823713677743747,0.011283378006793568,0.010823713677743747,0.010969313839438577,0.013548225956298565,0.020032891669545173,0.04547474298740378,0.028217683839243,0.8253333333333334,0.8270827386529999,0.8253333333333334,0.8260325101772659,0.8954248366013072,0.7632743362831859,0.7087378640776699,0.8652173913043478,41.4,,,,,,,,,,,,,,,,False
classification,aqi_only,MLP,model,0.82,0.8230300837196228,0.82,0.8205899838695455,0.8783172655565294,0.7385041551246538,0.7745454545454545,0.865358401880141,0.009912814377808613,0.010316057512112335,0.009912814377808613,0.00929636948770801,0.021629529126112934,0.019251579339494812,0.039370622470088976,0.033833544051852835,0.838,0.8419751664659064,0.838,0.8394155322758955,0.8823529411764706,0.8119469026548672,0.7427184466019418,0.8565217391304348,18.0,,,,,,,,,,,,,,,,True
classification,aqi_pm25_no2,Baseline,baseline,0.4081666666666666,0.16660013888888886,0.4081666666666666,0.23661983737444867,1.0,0.0,0.0,0.0,0.00037267799624997355,0.0003040431319406022,0.00037267799624997355,0.0003693369100275901,0.0,0.0,0.0,0.0,0.408,0.166464,0.408,0.23645454545454545,1.0,0.0,0.0,0.0,0.6,,,,,,,,,,,,,,,,False
classification,aqi_pm25_no2,Random Forest,model,0.8301666666666667,0.832024489652437,0.8301666666666667,0.8307075324142656,0.8713684737698759,0.7961218836565097,0.7103030303030302,0.8946886016451234,0.010263879491801426,0.010323172824993674,0.010263879491801426,0.010488369273194666,0.012934157510932366,0.009910550592796856,0.05255632336649407,0.040199675244835795,0.8446666666666667,0.8452770048949888,0.8446666666666667,0.8446684319669006,0.9133986928104575,0.7632743362831859,0.7572815533980582,0.9,22.5,,,,,,,,,,,,,,,,False
classification,aqi_pm25_no2,XGBoost,model,0.8484999999999999,0.8505602732978241,0.8484999999999999,0.8491687141210958,0.8832193981887233,0.8038781163434903,0.7781818181818181,0.9066509988249118,0.012684745869656925,0.013294906810766487,0.012684745869656925,0.012813983387646541,0.015485857397490654,0.022792246460636253,0.03651483716701109,0.03188389361103317,0.858,0.8579910394498631,0.858,0.8578157556280489,0.923202614379085,0.7831858407079646,0.7621359223300971,0.9173913043478261,54.0,,,,,,,,,,,,,,,,False
classification,aqi_pm25_no2,MLP,model,0.8705,0.8726510443940312,0.8705,0.870973653520774,0.8787245941321313,0.8227146814404431,0.8703030303030304,0.9424735605170387,0.012424773639789206,0.013012929481632445,0.012424773639789206,0.012531821199469235,0.011252822818217505,0.027907813960678533,0.04745110092378999,0.03034366051950715,0.8726666666666667,0.8750547422449978,0.8726666666666667,0.8730285772570191,0.9150326797385621,0.7920353982300885,0.8786407766990292,0.9130434782608695,51.0,,,,,,,,,,,,,,,,True
classification,full,Baseline,baseline,0.4081666666666666,0.16660013888888886,0.4081666666666666,0.23661983737444867,1.0,0.0,0.0,0.0,0.00037267799624997355,0.0003040431319406022,0.00037267799624997355,0.0003693369100275901,0.0,0.0,0.0,0.0,0.408,0.166464,0.408,0.23645454545454545,1.0,0.0,0.0,0.0,1.3,,,,,,,,,,,,,,,,False
classification,full,Random Forest,model,0.817,0.8196308144365867,0.817,0.8177554934560126,0.8615692166437128,0.7778393351800552,0.6896969696969697,0.889283196239718,0.011690451944500125,0.012402335801268536,0.011690451944500125,0.012076378375770174,0.012132485682385966,0.008846935968238927,0.05882223301115603,0.040637653189886276,0.8346666666666667,0.8360516839172507,0.8346666666666667,0.8352378214450669,0.9003267973856209,0.7654867256637168,0.7233009708737864,0.8956521739130435,36.7,,,,,,,,,,,,,,,,False
classification,full,XGBoost,model,0.8470000000000001,0.8491502677932953,0.8470000000000001,0.8477785680062428,0.8803605859521723,0.8038781163434903,0.7745454545454545,0.9077438307873091,0.007134618264334674,0.0071431741112358655,0.007134618264334674,0.007101027585384646,0.012615062415447636,0.014178929520298872,0.01382030818301987,0.03266757290384296,0.8593333333333333,0.8599864737696304,0.8593333333333333,0.8594991682561376,0.9150326797385621,0.7920353982300885,0.7815533980582524,0.9130434782608695,69.7,,,,,,,,,,,,,,,,False
classification,full,MLP,model,0.8628333333333333,0.8649106550686172,0.8628333333333333,0.8632960657029564,0.8795501022494887,0.8083102493074792,0.8581818181818182,0.929406580493537,0.012170661444638046,0.010516043883624098,0.012170661444638046,0.011618291806974698,0.026098679259869684,0.019724081018191588,0.017978662999019814,0.043335930569731056,0.878,0.8781109548661958,0.878,0.877594344228674,0.9281045751633987,0.7920353982300885,0.8495145631067961,0.9391304347826087,34.6,,,,,,,,,,,,,,,,False
regression,aqi_only,Baseline,baseline,,,,,,,,,,,,,,,,,,,,,,,,,0.7,2.54788637657974,1.594515127166388,1.0669094680555555,-0.0001320086862398373,0.30083333333333334,0.26105204091848605,0.08221835118525117,0.020159652233557254,0.00014272666124243697,0.0,2.7151859140973333,1.6477821197286167,1.0719618773333335,-0.0001224576019978052,0.30133333333333334,False
